year,name,harvested area [ha],yield [kg/ha]
2014,buenos aires loberia,41300,3583
2015,buenos aires loberia,37340,3926
2016,buenos aires loberia,49260,3700
2017,buenos aires loberia,47370,4500
2018,buenos aires loberia,59300,4501
2019,buenos aires loberia,68000,4204
2020,buenos aires loberia,80704,4818
2021,buenos aires loberia,38885,4602
1969,buenos aires lobos,3600,1200
1970,buenos aires lobos,4000,1500
1971,buenos aires lobos,3300,1300
1972,buenos aires lobos,4200,2000
1973,buenos aires lobos,4000,1425
1974,buenos aires lobos,3000,1800
1975,buenos aires lobos,1500,1600
1976,buenos aires lobos,1700,1600
1977,buenos aires lobos,1500,1400
1978,buenos aires lobos,500,1200
1979,buenos aires lobos,1800,1528
1980,buenos aires lobos,1780,674
1981,buenos aires lobos,3300,1700
1982,buenos aires lobos,4200,1800
1983,buenos aires lobos,4800,2000
1984,buenos aires lobos,3500,3200
1985,buenos aires lobos,3000,1500
1986,buenos aires lobos,2100,1857
1987,buenos aires lobos,2000,1725
1988,buenos aires lobos,7000,1600
1989,buenos aires lobos,7700,1844
1990,buenos aires lobos,9200,2196
1991,buenos aires lobos,5500,2309
1992,buenos aires lobos,4400,2500
1993,buenos aires lobos,2200,1818
1994,buenos aires lobos,9000,2800
1995,buenos aires lobos,9500,2600
1996,buenos aires lobos,12000,3800
1997,buenos aires lobos,8400,3095
1998,buenos aires lobos,8000,3375
1999,buenos aires lobos,10000,3100
2000,buenos aires lobos,8400,2810
2001,buenos aires lobos,3340,1916
2002,buenos aires lobos,3730,2000
2003,buenos aires lobos,3980,3701
2004,buenos aires lobos,5100,4000
2005,buenos aires lobos,6000,4300
2006,buenos aires lobos,8500,4400
2007,buenos aires lobos,8950,3301
2008,buenos aires lobos,10000,3200
2009,buenos aires lobos,6950,1895
2010,buenos aires lobos,8000,4131
2011,buenos aires lobos,9000,4500
2012,buenos aires lobos,7000,2500
2013,buenos aires lobos,5475,3900
2014,buenos aires lobos,2800,3700
2015,buenos aires lobos,2500,3100
2016,buenos aires lobos,7180,3600
2017,buenos aires lobos,5910,3700
